Year,Month,Brand,Quantity,Pct
2007,January,Toyota,2884,22.7
2007,January,Volkswagen,2521,19.9
2007,January,Peugeot,1029,8.1
2007,January,Ford,870,6.9
2007,January,Volvo,693,5.5
2007,January,Skoda,665,5.2
2007,January,Opel,622,4.9
2007,January,Audi,599,4.7
2007,January,Honda,423,3.3
2007,January,Mercedes-Benz,362,2.9
2007,January,BMW,352,2.8
2007,January,Citroen,263,2.1
2007,January,Suzuki,258,2
2007,January,Mazda,191,1.5
2007,January,Saab,169,1.3
2007,January,Renault,168,1.3
2007,January,Mitsubishi,136,1.1
2007,January,Nissan,127,1
2007,January,Hyundai,97,0.8
2007,January,Kia,55,0.4
2007,January,Dodge,33,0.3
2007,January,MINI,26,0.2
2007,January,Subaru,26,0.2
2007,January,Lexus,22,0.2
2007,January,Chevrolet,20,0.2
2007,January,Alfa Romeo,16,0.1
2007,January,Daihatsu,15,0.1
2007,January,Land Rover,14,0.1
2007,January,Fiat,9,0.1
2007,January,Chrysler,4,0
2007,January,Iveco,4,0
2007,January,Jaguar,3,0
2007,January,Jeep,2,0
2007,January,Nilsson,2,0
2007,January,Think,2,0
2007,January,Smart,1,0
2007,January,Ssangyong,1,0
2007,January,NA,1,0
2007,Februray,Toyota,1885,19.2
2007,Februray,Volkswagen,1517,15.5
2007,Februray,Ford,686,7
2007,Februray,Peugeot,621,6.3
2007,Februray,Volvo,570,5.8
2007,Februray,Opel,551,5.6
2007,Februray,Audi,498,5.1
2007,Februray,Skoda,463,4.7
2007,Februray,Mercedes-Benz,410,4.2
2007,Februray,Honda,356,3.6
2007,Februray,BMW,335,3.4
2007,Februray,Suzuki,264,2.7
2007,Februray,Mitsubishi,262,2.7
2007,Februray,Citroen,247,2.5
2007,Februray,Mazda,239,2.4
2007,Februray,Saab,175,1.8
2007,Februray,Hyundai,149,1.5
2007,Februray,Nissan,134,1.4
2007,Februray,Kia,119,1.2
2007,Februray,Renault,84,0.9
2007,Februray,Chevrolet,35,0.4
2007,Februray,MINI,32,0.3
2007,Februray,Land Rover,30,0.3
2007,Februray,Dodge,24,0.2
2007,Februray,Daihatsu,22,0.2
2007,Februray,Subaru,18,0.2
2007,Februray,Lexus,17,0.2
2007,Februray,Alfa Romeo,9,0.1
2007,Februray,Fiat,6,0.1
2007,Februray,Jeep,6,0.1
2007,Februray,Nilsson,6,0.1
2007,Februray,Chrysler,5,0.1
2007,Februray,Jaguar,5,0.1
2007,Februray,Smart,5,0.1
2007,Februray,Chevrolet US,3,0
2007,Februray,Ssangyong,2,0
2007,Februray,Porsche,2,0
2007,Februray,Cadillac,1,0
2007,March,Toyota,1833,16.3
2007,March,Volkswagen,1428,12.7
2007,March,Peugeot,867,7.7
2007,March,Ford,766,6.8
2007,March,Audi,682,6.1
2007,March,Volvo,656,5.8
2007,March,Opel,578,5.1
2007,March,Mitsubishi,512,4.5
2007,March,Skoda,491,4.4
2007,March,Honda,399,3.5
2007,March,Mercedes-Benz,387,3.4
2007,March,BMW,365,3.2
2007,March,Suzuki,333,3
2007,March,Nissan,327,2.9
2007,March,Mazda,319,2.8
2007,March,Saab,243,2.2
2007,March,Citroen,239,2.1
2007,March,Hyundai,228,2
2007,March,Kia,171,1.5
2007,March,Renault,131,1.2
2007,March,Chevrolet,52,0.5
2007,March,Land Rover,40,0.4
2007,March,Jeep,33,0.3
2007,March,MINI,28,0.2
2007,March,Daihatsu,27,0.2
2007,March,Dodge,25,0.2
2007,March,Alfa Romeo,21,0.2
2007,March,Fiat,20,0.2
2007,March,Lexus,18,0.2
2007,March,Porsche,14,0.1
2007,March,Jaguar,9,0.1
2007,March,Subaru,7,0.1
2007,March,Iveco,5,0
2007,March,Cadillac,4,0
2007,March,Chrysler,3,0
2007,March,Nilsson,1,0
2007,March,NA,1,0
2007,March,Aston Martin,1,0
2007,April,Toyota,1300,14.7
2007,April,Volkswagen,1257,14.2
2007,April,Volvo,587,6.6
2007,April,Audi,556,6.3
2007,April,Peugeot,547,6.2
2007,April,Opel,534,6
2007,April,Ford,451,5.1
2007,April,Skoda,438,4.9
2007,April,Mercedes-Benz,387,4.4
2007,April,BMW,360,4.1
2007,April,Honda,351,4
2007,April,Suzuki,347,3.9
2007,April,Nissan,328,3.7
2007,April,Mazda,249,2.8
2007,April,Saab,191,2.2
2007,April,Citroen,179,2
2007,April,Hyundai,142,1.6
2007,April,Mitsubishi,104,1.2
2007,April,Renault,92,1
2007,April,Kia,92,1
2007,April,Chevrolet,79,0.9
2007,April,Subaru,77,0.9
2007,April,Land Rover,42,0.5
2007,April,MINI,31,0.4
2007,April,Dodge,25,0.3
2007,April,Alfa Romeo,20,0.2
2007,April,Lexus,18,0.2
2007,April,Daihatsu,17,0.2
2007,April,Chrysler,11,0.1
2007,April,Jeep,10,0.1
2007,April,Fiat,7,0.1
2007,April,Porsche,7,0.1
2007,April,Jaguar,5,0.1
2007,April,Iveco,5,0.1
2007,April,Morgan,4,0
2007,April,Cadillac,2,0
2007,April,Smart,1,0
2007,April,Think,1,0
2007,May,Volkswagen,1934,16.1
2007,May,Toyota,1866,15.5
2007,May,Volvo,805,6.7
2007,May,Opel,771,6.4
2007,May,Peugeot,743,6.2
2007,May,Ford,648,5.4
2007,May,Audi,630,5.2
2007,May,Honda,520,4.3
2007,May,Skoda,517,4.3
2007,May,BMW,431,3.6
2007,May,Mercedes-Benz,422,3.5
2007,May,Suzuki,420,3.5
2007,May,Nissan,382,3.2
2007,May,Mazda,325,2.7
2007,May,Saab,241,2
2007,May,Citroen,223,1.9
2007,May,Mitsubishi,222,1.8
2007,May,Kia,169,1.4
2007,May,Hyundai,155,1.3
2007,May,Renault,109,0.9
2007,May,Land Rover,91,0.8
2007,May,Subaru,78,0.6
2007,May,Jeep,72,0.6
2007,May,Chevrolet,65,0.5
2007,May,Daihatsu,36,0.3
2007,May,MINI,30,0.2
2007,May,Dodge,29,0.2
2007,May,Fiat,18,0.1
2007,May,Alfa Romeo,17,0.1
2007,May,Lexus,10,0.1
2007,May,Chrysler,8,0.1
2007,May,Jaguar,5,0
2007,May,Porsche,4,0
2007,May,Aston Martin,4,0
2007,May,Ssangyong,3,0
2007,May,Smart,2,0
2007,May,Morgan,2,0
2007,June,Toyota,1620,14.6
2007,June,Volkswagen,1531,13.8
2007,June,Ford,772,7
2007,June,Opel,683,6.2
2007,June,Volvo,662,6
2007,June,Honda,624,5.6
2007,June,Peugeot,569,5.1
2007,June,Skoda,512,4.6
2007,June,Audi,498,4.5
2007,June,BMW,477,4.3
2007,June,Mercedes-Benz,421,3.8
2007,June,Mitsubishi,414,3.7
2007,June,Nissan,364,3.3
2007,June,Mazda,296,2.7
2007,June,Citroen,277,2.5
2007,June,Suzuki,262,2.4
2007,June,Hyundai,204,1.8
2007,June,Saab,195,1.8
2007,June,Kia,159,1.4
2007,June,Renault,107,1
2007,June,Chevrolet,74,0.7
2007,June,Jeep,68,0.6
2007,June,Subaru,65,0.6
2007,June,Land Rover,47,0.4
2007,June,MINI,37,0.3
2007,June,Daihatsu,37,0.3
